Offense Parent Group,Offense,Report DateTime,0
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2015,976
BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,2023,970
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2019,969
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2012,955
FRAUD OFFENSES,Impersonation,2008,949
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2010,943
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2011,939
MOTOR VEHICLE THEFT,Motor Vehicle Theft,2023,939
FRAUD OFFENSES,Impersonation,2018,938
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2020,937
FRAUD OFFENSES,Identity Theft,2021,930
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2017,921
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2014,916
LARCENY-THEFT,Theft From Motor Vehicle,2023,915
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2011,912
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2018,908
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2009,907
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2016,901
FRAUD OFFENSES,Identity Theft,2022,900
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2014,887
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2022,883
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2016,875
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2013,838
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2013,835
WEAPON LAW VIOLATIONS,Weapon Law Violations,2018,835
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2015,830
WEAPON LAW VIOLATIONS,Weapon Law Violations,2022,829
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,2023,823
FRAUD OFFENSES,Impersonation,2013,805
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2020,805
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2008,792
WEAPON LAW VIOLATIONS,Weapon Law Violations,2017,784
FRAUD OFFENSES,Impersonation,2010,784
BAD CHECKS,Bad Checks,2010,775
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2012,757
WEAPON LAW VIOLATIONS,Weapon Law Violations,2008,755
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2022,733
WEAPON LAW VIOLATIONS,Weapon Law Violations,2015,707
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2018,706
LARCENY-THEFT,All Other Larceny,2023,694
FRAUD OFFENSES,Impersonation,2009,674
WEAPON LAW VIOLATIONS,Weapon Law Violations,2016,664
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2021,662
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2012,661
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2008,660
BAD CHECKS,Bad Checks,2008,654
WEAPON LAW VIOLATIONS,Weapon Law Violations,2019,653
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2022,653
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2023,644
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2009,630
FRAUD OFFENSES,Impersonation,2012,624
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2019,623
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2020,620
WEAPON LAW VIOLATIONS,Weapon Law Violations,2020,618
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2021,617
WEAPON LAW VIOLATIONS,Weapon Law Violations,2011,610
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2022,609
WEAPON LAW VIOLATIONS,Weapon Law Violations,2009,603
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2020,598
FRAUD OFFENSES,Identity Theft,2019,590
WEAPON LAW VIOLATIONS,Weapon Law Violations,2010,580
