,,ASSAULT OFFENSES,BURGLARY/BREAKING&ENTERING,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,MOTOR VEHICLE THEFT,FRAUD OFFENSES,ROBBERY,TRESPASS OF REAL PROPERTY,DRUG/NARCOTIC OFFENSES,"FAMILY OFFENSES, NONVIOLENT",DRIVING UNDER THE INFLUENCE,WEAPON LAW VIOLATIONS,SEX OFFENSES,BAD CHECKS,COUNTERFEITING/FORGERY,PROSTITUTION OFFENSES,STOLEN PROPERTY OFFENSES,EMBEZZLEMENT,LIQUOR LAW VIOLATIONS,CURFEW/LOITERING/VAGRANCY VIOLATIONS,ARSON,KIDNAPPING/ABDUCTION,PEEPING TOM,EXTORTION/BLACKMAIL,PORNOGRAPHY/OBSCENE MATERIAL,HOMICIDE OFFENSES,"SEX OFFENSES, CONSENSUAL",ANIMAL CRUELTY,HUMAN TRAFFICKING,DRUNKENNESS,GAMBLING OFFENSES,LARCENY-THEFT,BRIBERY
2,2009,0.06967798659193318,0.06605199516324063,0.0675888085507702,0.07622130665097115,0.08976660682226212,,0.08873720136518772,0.09375,0.07354555433589462,0.05173807599029911,0.05970149253731343,0.09119496855345911,,0.05341246290801187,0.08256880733944955,0.10176991150442478,0.05421686746987952,,0.0743801652892562,0.03355704697986577,0.018518518518518517,,0.045454545454545456,,0.14285714285714285,,,,,,,0.5
2,2010,0.07116808487125649,0.06705991927972679,0.0688907422852377,0.08151260504201681,0.05947732051667167,0.06957132817990162,0.07553648068669527,0.0903068340306834,0.06966773847802786,0.08448540706605223,0.08261617900172118,0.058823529411764705,0.09198423127463863,0.056179775280898875,,0.1092436974789916,0.037037037037037035,0.0821529745042493,,0.09821428571428571,0.08695652173913043,,,0.09090909090909091,0.05263157894736842,,,,,1.0,,
2,2011,0.07331146057246295,0.06761932822628168,0.07301310043668122,0.0608946608946609,0.08343763037129745,0.06474313863476425,0.08217716115261472,0.08583899127061105,0.07915273132664437,,0.08032786885245902,0.08223684210526316,0.06826568265682657,0.06984126984126984,0.07746478873239436,0.05042016806722689,0.08,0.08808290155440414,0.05194805194805195,0.03614457831325301,0.0425531914893617,0.14285714285714285,0.14285714285714285,0.18181818181818182,0.08333333333333333,,,,,,,
2,2012,0.07189393073494113,0.07299938912645082,0.08084730803177405,0.07249524843877274,0.08271735304470257,0.05935127674258109,0.07635983263598327,0.09597215315763302,0.07227332457293036,0.10141509433962265,0.09090909090909091,0.05421686746987952,0.05708661417322835,0.042042042042042045,0.13545816733067728,0.05687203791469194,0.08208955223880597,0.125,0.09090909090909091,,0.16666666666666666,,0.04,0.07142857142857142,0.16666666666666666,,,,,1.0,,
2,2013,0.07137834036568214,0.07522306108442003,0.07762237762237763,0.06219197371509035,0.06990105330354293,0.08369768894440974,0.07044534412955465,0.08616647127784291,0.07125603864734299,0.07477477477477477,0.07806691449814127,0.10333333333333333,0.07186858316221766,0.0782122905027933,0.14027149321266968,0.05327868852459016,0.07194244604316546,0.0945945945945946,0.05263157894736842,0.09195402298850575,0.15555555555555556,0.125,0.15,0.09090909090909091,0.07692307692307693,,,,,,,
2,2014,0.06847946725860156,0.07189908899789768,0.06521739130434782,0.06658177187556849,0.0715592600121976,0.04876504116529449,0.05779078273591807,0.07642276422764227,0.07386990077177508,0.07001972386587771,0.044897959183673466,0.05491329479768786,0.06432748538011696,0.05789473684210526,0.07961783439490445,0.07258064516129033,0.05228758169934641,0.08,0.047619047619047616,0.0547945205479452,0.14545454545454545,,,0.07692307692307693,0.07142857142857142,0.1,,,,,,
2,2015,0.07665282657297988,0.06308441986039773,0.07153601871970583,0.07745933384972889,0.07742270719667446,0.08462532299741603,0.07217907720420283,0.11972704714640199,,0.08878048780487804,0.059322033898305086,0.07458563535911603,0.07675438596491228,0.09903381642512077,0.04956268221574344,0.08928571428571429,0.043010752688172046,0.07207207207207207,0.10638297872340426,0.05434782608695652,0.15384615384615385,0.07142857142857142,0.025,0.07142857142857142,0.07142857142857142,,,,,,,
2,2016,0.07269756994078007,0.08504437673864088,0.08177791838025941,0.0852694610778443,0.0789330430048993,0.06567933032839665,0.08015536723163842,0.08923742563547864,0.08748615725359911,0.08490566037735849,0.0963855421686747,0.04421052631578947,0.08958333333333333,0.10495626822157435,0.0975609756097561,0.08808290155440414,0.047619047619047616,0.09090909090909091,0.0967741935483871,0.0784313725490196,0.05084745762711865,,0.07352941176470588,,0.18181818181818182,0.06666666666666667,,,,,,
2,2017,0.07021627388226166,0.06842105263157895,0.0739012642986153,0.07611336032388664,0.09046517604728861,0.07203114860480207,0.07035047326682016,0.07526881720430108,0.07447973713033954,0.08110065170166546,0.04342273307790549,0.055658627087198514,0.07352941176470588,0.05714285714285714,0.07329842931937172,0.050505050505050504,0.09090909090909091,0.02247191011235955,0.15,0.1342281879194631,0.0641025641025641,,0.06329113924050633,0.045454545454545456,,,,,,,,
2,2018,0.06787290379523389,0.07328809376927822,0.07397383852052324,0.07465235423273969,0.0693175711982805,0.07407407407407407,,0.07806004618937644,0.06440677966101695,0.08848920863309352,,0.059322033898305086,0.0673076923076923,,0.03305785123966942,0.08948863636363637,0.07936507936507936,0.06097560975609756,0.140625,0.09821428571428571,0.07407407407407407,0.125,0.029411764705882353,,0.11764705882352941,0.1,,,,0.5,,
